,Platform,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14
783,Apple,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
784,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
785,Apple,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
786,Apple,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
790,Android,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
793,Android,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
794,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,Apple,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
799,Android,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
803,Apple,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
804,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,Android,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
808,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,Android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
813,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,Apple,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
824,Android,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
831,Android,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
832,Apple,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
833,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,Android,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
842,Apple,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
844,Android,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
846,Apple,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
848,Android,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,Android,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
855,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,Android,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
867,Apple,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
869,Android,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
870,Android,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0
872,Android,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
874,Apple,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
875,Android,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
879,Apple,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
886,Android,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0
890,Android,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
893,Apple,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
898,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,Android,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
915,Apple,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
916,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
921,Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,Android,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
